entry_timestamp_ist,setup_type,direction,entry_price,actual_exit_price,orig_result_state,orig_pnl_points,orig_opt_pnl_rupees,hybrid_result_state,hybrid_pnl_points,hybrid_opt_pnl_rupees,pnl_difference,config_used
2026-07-23 14:50:00 IST,EXHAUSTION_REVERSAL,BULLISH,23817.3,23817.3,STOPPED_OUT_AT_BE,0.0,0.0,STOPPED_OUT_AT_BE,0.0,0.0,0.0,OLD (Original)
2026-07-23 15:07:00 IST,EXHAUSTION_REVERSAL,BULLISH,23860.2,23860.2,STOPPED_OUT_AT_BE,0.0,0.0,STOPPED_OUT_AT_BE,0.0,0.0,0.0,OLD (Original)
2026-07-23 15:24:00 IST,EXHAUSTION_REVERSAL,BULLISH,23881.0,23869.0,SL_HIT,-12.0,-409.25,SL_HIT,-12.0,-409.25,0.0,OLD (Original)
2026-07-24 09:34:00 IST,OI_WALL_REJECTION,BEARISH,23695.95,23655.95,T2_HIT,40.0,1411.26,T2_HIT,40.0,1411.26,0.0,NEW (SL 16.0)
2026-07-24 10:51:00 IST,TREND_CONTINUATION,BEARISH,23645.35,23670.35,SL_HIT,-25.0,-879.41,SL_HIT,-25.0,-879.41,0.0,OLD (Original)
2026-07-24 12:01:00 IST,EXHAUSTION_REVERSAL,BULLISH,23690.55,23807.2,T2_HIT,116.65,4037.37,T2_HIT,116.65,4037.37,0.0,OLD (Original)
2026-07-24 12:17:00 IST,EXHAUSTION_REVERSAL,BULLISH,23709.1,23807.2,T2_HIT,98.1,3561.62,T2_HIT,98.1,3561.62,0.0,OLD (Original)
2026-07-24 12:32:00 IST,EXHAUSTION_REVERSAL,BULLISH,23790.95,23778.95,SL_HIT,-12.0,-418.11,SL_HIT,-12.0,-418.11,0.0,OLD (Original)
2026-07-24 12:37:00 IST,EXHAUSTION_REVERSAL,BEARISH,23773.2,23785.2,SL_HIT,-12.0,-445.98,SL_HIT,-12.0,-445.98,0.0,OLD (Original)
2026-07-24 12:51:00 IST,EXHAUSTION_REVERSAL,BULLISH,23802.45,23790.45,SL_HIT,-12.0,-429.7,SL_HIT,-12.0,-429.7,0.0,OLD (Original)
2026-07-24 13:25:00 IST,EXHAUSTION_REVERSAL,BULLISH,23789.95,23777.95,SL_HIT,-12.0,-415.04,SL_HIT,-12.0,-415.04,0.0,OLD (Original)
2026-07-27 09:21:00 IST,OI_WALL_REJECTION,BULLISH,23933.7,23921.7,SL_HIT,-12.0,-3969.97,SL_HIT,-16.0,-5293.3,-4.0,NEW (SL 16.0)
2026-07-27 09:29:00 IST,OI_WALL_REJECTION,BULLISH,23936.2,23924.2,SL_HIT,-12.0,-888.82,SL_HIT,-16.0,-1185.1,-4.0,NEW (SL 16.0)
2026-07-27 12:13:00 IST,TREND_CONTINUATION,BULLISH,23959.3,23959.3,TIME_STOP,0.0,0.0,TIME_STOP,0.0,0.0,0.0,OLD (Original)
2026-07-27 13:54:00 IST,EXHAUSTION_REVERSAL,BULLISH,23965.0,24005.0,T2_HIT,40.0,1686.36,T2_HIT,40.0,1686.36,0.0,OLD (Original)
2026-07-27 14:46:00 IST,EXHAUSTION_REVERSAL,BULLISH,24000.5,23988.5,SL_HIT,-12.0,-1413.13,SL_HIT,-12.0,-1413.13,0.0,OLD (Original)
2026-07-27 14:56:00 IST,TREND_CONTINUATION,BULLISH,23996.25,23996.25,TIME_STOP,0.0,0.0,TIME_STOP,0.0,0.0,0.0,OLD (Original)
2026-07-27 15:11:00 IST,EXHAUSTION_REVERSAL,BEARISH,23999.5,23999.5,TIME_STOP,0.0,0.0,TIME_STOP,0.0,0.0,0.0,OLD (Original)
2026-07-28 13:00:00 IST,EXHAUSTION_REVERSAL,BULLISH,24004.95,23992.95,SL_HIT,-12.0,-489.84,SL_HIT,-12.0,-489.84,0.0,OLD (Original)
2026-07-29 10:01:00 IST,TREND_CONTINUATION,BULLISH,24201.1,24281.1,T2_HIT,80.0,8885.88,T2_HIT,80.0,8885.88,0.0,OLD (Original)
2026-07-29 10:42:00 IST,EXHAUSTION_REVERSAL,BULLISH,24234.95,24222.95,SL_HIT,-12.0,-1692.4,SL_HIT,-12.0,-1692.4,0.0,OLD (Original)
2026-07-29 12:33:00 IST,TREND_CONTINUATION,BULLISH,24225.7,24225.7,STOPPED_OUT_AT_BE,0.0,0.0,STOPPED_OUT_AT_BE,0.0,0.0,0.0,OLD (Original)
2026-07-29 13:51:00 IST,EXHAUSTION_REVERSAL,BULLISH,24248.9,24248.9,STOPPED_OUT_AT_BE,0.0,0.0,STOPPED_OUT_AT_BE,0.0,0.0,0.0,OLD (Original)
2026-07-29 15:03:00 IST,EXHAUSTION_REVERSAL,BULLISH,24271.0,24259.0,SL_HIT,-12.0,-1880.57,SL_HIT,-12.0,-1880.57,0.0,OLD (Original)
